Farmer yield analysis,,,,,,,,,,,,,,"Coffee form conversion ratios to green coffee (ie., 6.25 kilograms of cherry is equivalent to 1 kilogram of green)",,,,,,,,,,,
,,,,,,,,,,,,,,,Cherry,Dry Cherry,Wet Parchment,Dry Parchment,Green,,,,,,
Region,Coffee farm size (hectares),Coffee form sold,Main Harvest Cherry Production,Second Harvest Cherry Production,Cherry Production Unit,Main Harvest Wet Parchment Production,Second Harvest Wet Parchment Production,Wet Parchment Production Unit,Main Harvest Dry Parchment Production,Second Harvest Dry Parchment Production,Dry Parchment Production Unit,Yield (kg green per hectare),,Green Coffee,6.25,2,2.22,1.25,1,,,,,,
antioquia1,51,dry_parchment,,,,,,,60000,6000,kilo,,,,,,,,,,,,,,
antioquia1,120,dry_parchment,,,,,,,5000,1500,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,1.12,cherry,4000,500,kilo,,,,,,,,,,,,,,,,,,,,
cundinamarca1,2.24,cherry,1500,300,kilo,,,,,,,,,,,,,,,,,,,,
cundinamarca1,0.045,dry_parchment,,,,,,,30,15,kilo,,,,,,,,,,,,,,
cundinamarca1,0.06,dry_parchment,,,,,,,5,,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.0667,dry_parchment,,,,,,,2,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.09,dry_parchment,,,,,,,30,,kilo,,,,,,,,,,,,,,
cundinamarca1,0.1,dry_parchment,,,,,,,180,,kilo,,,,,,,,,,,,,,
cundinamarca1,0.17,dry_parchment,,,,,,,12,8,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.23,dry_parchment,,,,,,,3,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.24,dry_parchment,,,,,,,80,40,kilo,,,,,,,,,,,,,,
cundinamarca1,0.29,dry_parchment,,,,,,,8,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.35,dry_parchment,,,,,,,1,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.45,dry_parchment,,,,,,,15,,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.5,dry_parchment,,,,,,,1.5,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.5,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,2.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,250,65,kilo,,,,,,,,,,,,,,
cundinamarca1,0.675,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,3.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,4,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,13,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,62.5,15,kilo,,,,,,,,,,,,,,
cundinamarca1,1.28,dry_parchment,,,,,,,1.5,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.28,dry_parchment,,,,,,,3,8,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.5,dry_parchment,,,,,,,6,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.5,dry_parchment,,,,,,,6,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.6,dry_parchment,,,,,,,8,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.8,dry_parchment,,,,,,,15,7,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,1.92,dry_parchment,,,,,,,4,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.92,dry_parchment,,,,,,,30,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,4,190,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,10,1875,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,15,8,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,90,60,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,120,50,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2.2,dry_parchment,,,,,,,2,80,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.5,dry_parchment,,,,,,,1.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.56,dry_parchment,,,,,,,1,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.56,dry_parchment,,,,,,,25,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.2,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.2,dry_parchment,,,,,,,15,4,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.8,dry_parchment,,,,,,,25,5,carga_125,,,,,,,,,,,,,,
cundinamarca1,4,dry_parchment,,,,,,,9,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,6.4,dry_parchment,,,,,,,10000,5000,kilo,,,,,,,,,,,,,,
cundinamarca1,7,dry_parchment,,,,,,,50,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.024,wet_parchment,,,,60,16,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.036,wet_parchment,,,,5,,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.078,wet_parchment,,,,2,60,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.1,wet_parchment,,,,60,15,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.21,wet_parchment,,,,15,6,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,1,50,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,1.5,0.5,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,300,96,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.35,wet_parchment,,,,1.5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.39,wet_parchment,,,,6,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.43,wet_parchment,,,,200,40,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.5,wet_parchment,,,,2,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.5,wet_parchment,,,,700,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.54,wet_parchment,,,,6,2,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.6,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.6,wet_parchment,,,,60,40,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,3,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,20,2,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,25,8,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,62.5,35,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.68,wet_parchment,,,,1118,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.7778,wet_parchment,,,,50,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.81,wet_parchment,,,,8,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,1,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,650,180,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,7,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,313,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.13,wet_parchment,,,,5,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,4,5,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,4,600,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,1600,400,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.344,wet_parchment,,,,15,4,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.35,wet_parchment,,,,20,10,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,1.5,wet_parchment,,,,7,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.5,wet_parchment,,,,10,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.6,wet_parchment,,,,1300,800,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.792,wet_parchment,,,,10,8,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.9,wet_parchment,,,,8,4,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,30,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,900,200,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,1600,300,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,1900,300,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,2,wet_parchment,,,,2,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.24,wet_parchment,,,,20,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.25,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.56,wet_parchment,,,,15,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.56,wet_parchment,,,,210,50,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,3,wet_parchment,,,,20,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3,wet_parchment,,,,35,16,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,10,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,16,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,30,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.5,wet_parchment,,,,30,20,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,5,wet_parchment,,,,60,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,0.05,dry_parchment,,,,,,,3,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.3,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.3,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.42,dry_parchment,,,,,,,8,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.48,dry_parchment,,,,,,,6,18,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.5,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.5,dry_parchment,,,,,,,5,3,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,1,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,2,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,3,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,8,3,kilo,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,3,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,5,2,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,30,10,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,30,14,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,70,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,80,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,1200,800,kilo,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,1,2,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,9,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,50,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.5,dry_parchment,,,,,,,20,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.6,dry_parchment,,,,,,,2,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,4,1.5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,6,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,17,6,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,50,15,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,60,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,2,dry_parchment,,,,,,,15,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,2,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.5,dry_parchment,,,,,,,6,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.5,dry_parchment,,,,,,,8,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.56,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.56,dry_parchment,,,,,,,300,150,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,10,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,20,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,50,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,4,dry_parchment,,,,,,,20,10,carga_125,,,,,,,,,,,,,,
ejecafetero1,4.48,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,4.48,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,5,dry_parchment,,,,,,,120,80,carga_125,,,,,,,,,,,,,,
ejecafetero1,5,dry_parchment,,,,,,,400,5,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,5.12,dry_parchment,,,,,,,9,6,carga_125,,,,,,,,,,,,,,
ejecafetero1,6,dry_parchment,,,,,,,770,330,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,70,30,carga_125,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,150,100,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,500,200,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,8,dry_parchment,,,,,,,70,35,carga_125,,,,,,,,,,,,,,
ejecafetero1,8.96,dry_parchment,,,,,,,8,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,10.88,dry_parchment,,,,,,,50,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,19.2,dry_parchment,,,,,,,37679,18839,kilo,,,,,,,,,,,,,,
ejecafetero1,22,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.19,wet_parchment,,,,6,3,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.2,wet_parchment,,,,20,10,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.3,wet_parchment,,,,3,1,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.32,wet_parchment,,,,4,,arroba_12_5,,,,,,,,,,,,,,,,,
